# generated by STOCK (http://stock.cmm.ki.si)
SPC_POTENTIAL
N 995

 420 2.54654650 -0.11379922 0.36637282
 421 2.55255260 -0.11620272 0.41782874
 422 2.55855860 -0.11881818 0.43741136
 423 2.56456460 -0.12145691 0.43222717
 424 2.57057060 -0.12401010 0.41629054
 425 2.57657660 -0.12645740 0.40125870
 426 2.58258260 -0.12883002 0.39213538
 427 2.58858860 -0.13116773 0.38836773
 428 2.59459460 -0.13349510 0.38716136
 429 2.60060060 -0.13581832 0.38593400
 430 2.60660660 -0.13813094 0.38296043
 431 2.61261260 -0.14041844 0.37661812
 432 2.61861860 -0.14265489 0.36389568
 433 2.62462460 -0.14478956 0.33963006
 434 2.63063060 -0.14673453 0.29866413
 435 2.63663660 -0.14837712 0.24076352
 436 2.64264260 -0.14962658 0.17367884
 437 2.64864860 -0.15046335 0.10974649
 438 2.65465470 -0.15094486 0.05831790
 439 2.66066070 -0.15116387 0.02065970
 440 2.66666670 -0.15119302 -0.00884889
 441 2.67267270 -0.15105757 -0.03864701
 442 2.67867870 -0.15072879 -0.07688190
 443 2.68468470 -0.15013407 -0.12814551
 444 2.69069070 -0.14918951 -0.19043365
 445 2.69669670 -0.14784658 -0.25602648
 446 2.70270270 -0.14611411 -0.31745340
 447 2.70870870 -0.14403332 -0.37348407
 448 2.71471470 -0.14162782 -0.43106764
 449 2.72072070 -0.13885533 -0.50496193
 450 2.72672670 -0.13556221 -0.61540907
 451 2.73273270 -0.13146303 -0.77768749
 452 2.73873870 -0.12622062 -0.98245003
 453 2.74474470 -0.11966183 -1.18230530
 454 2.75075080 -0.11201875 -1.30522420
 455 2.75675680 -0.10398346 -1.29584060
 456 2.76276280 -0.09645310 -1.16413400
 457 2.76876880 -0.08999987 -1.01277500
 458 2.77477480 -0.08428763 -1.01636140
 459 2.78078080 -0.07779132 -1.34261220
 460 2.78678680 -0.06816016 -2.06099560
 461 2.79279280 -0.05303462 -3.14661590
 462 2.79879880 -0.03036297 -4.41513220
 463 2.80480480 0.00000000 -2.52771750
 464 2.81081080 0.00000000 -0.00000000
 465 2.81681680 0.00000000 -0.00000000
 466 2.82282280 0.00000000 -0.00000000
 467 2.82882880 0.00000000 -0.00000000
 468 2.83483480 0.00000000 -0.00000000
 469 2.84084080 0.00000000 -0.00000000
 470 2.84684680 0.00000000 -0.00000000
 471 2.85285290 0.00000000 -0.00000000
 472 2.85885890 0.00000000 -0.00000000
 473 2.86486490 0.00000000 -0.00000000
 474 2.87087090 0.00000000 -0.00000000
 475 2.87687690 0.00000000 -0.00000000
 476 2.88288290 0.00000000 -0.00000000
 477 2.88888890 0.00000000 -0.00000000
 478 2.89489490 0.00000000 -0.00000000
 479 2.90090090 0.00000000 -0.00000000
 480 2.90690690 0.00000000 -0.00000000
 481 2.91291290 0.00000000 -0.00000000
 482 2.91891890 0.00000000 -0.00000000
 483 2.92492490 0.00000000 -0.00000000
 484 2.93093090 0.00000000 -0.00000000
 485 2.93693690 0.00000000 -0.00000000
 486 2.94294290 0.00000000 -0.00000000
 487 2.94894890 0.00000000 -0.00000000
 488 2.95495500 0.00000000 -0.00000000
 489 2.96096100 0.00000000 -0.00000000
 490 2.96696700 0.00000000 -0.00000000
 491 2.97297300 0.00000000 -0.00000000
 492 2.97897900 0.00000000 -0.00000000
 493 2.98498500 0.00000000 -0.00000000
 494 2.99099100 0.00000000 -0.00000000
 495 2.99699700 0.00000000 -0.00000000
 496 3.00300300 0.00000000 -0.00000000
 497 3.00900900 0.00000000 -0.00000000
 498 3.01501500 0.00000000 -0.00000000
 499 3.02102100 0.00000000 -0.00000000
 500 3.02702700 0.00000000 -0.00000000
 501 3.03303300 0.00000000 -0.00000000
 502 3.03903900 0.00000000 -0.00000000
 503 3.04504500 0.00000000 -0.00000000
 504 3.05105110 0.00000000 -0.00000000
 505 3.05705710 0.00000000 -0.00000000
 506 3.06306310 0.00000000 -0.00000000
 507 3.06906910 0.00000000 -0.00000000
 508 3.07507510 0.00000000 -0.00000000
 509 3.08108110 0.00000000 -0.00000000
 510 3.08708710 0.00000000 -0.00000000
 511 3.09309310 0.00000000 -0.00000000
 512 3.09909910 0.00000000 -0.00000000
 513 3.10510510 0.00000000 -0.00000000
 514 3.11111110 0.00000000 -0.00000000
 515 3.11711710 0.00000000 -0.00000000
 516 3.12312310 0.00000000 -0.00000000
 517 3.12912910 0.00000000 -0.00000000
 518 3.13513510 0.00000000 -0.00000000
 519 3.14114110 0.00000000 -0.00000000
 520 3.14714710 0.00000000 -0.00000000
 521 3.15315320 0.00000000 -0.00000000
 522 3.15915920 0.00000000 -0.00000000
 523 3.16516520 0.00000000 -0.00000000
 524 3.17117120 0.00000000 -0.00000000
 525 3.17717720 0.00000000 -0.00000000
 526 3.18318320 0.00000000 -0.00000000
 527 3.18918920 0.00000000 -0.00000000
 528 3.19519520 0.00000000 -0.00000000
 529 3.20120120 0.00000000 -0.00000000
 530 3.20720720 0.00000000 -0.00000000
 531 3.21321320 0.00000000 -0.00000000
 532 3.21921920 0.00000000 -0.00000000
 533 3.22522520 0.00000000 -0.00000000
 534 3.23123120 0.00000000 -0.00000000
 535 3.23723720 0.00000000 -0.00000000
 536 3.24324320 0.00000000 -0.00000000
 537 3.24924920 0.00000000 -0.00000000
 538 3.25525530 0.00000000 -0.00000000
 539 3.26126130 0.00000000 -0.00000000
 540 3.26726730 0.00000000 -0.00000000
 541 3.27327330 0.00000000 -0.00000000
 542 3.27927930 0.00000000 -0.00000000
 543 3.28528530 0.00000000 -0.00000000
 544 3.29129130 0.00000000 -0.00000000
 545 3.29729730 0.00000000 -0.00000000
 546 3.30330330 0.00000000 -0.00000000
 547 3.30930930 0.00000000 -0.00000000
 548 3.31531530 0.00000000 -0.00000000
 549 3.32132130 0.00000000 -0.00000000
 550 3.32732730 0.00000000 -0.00000000
 551 3.33333330 0.00000000 -0.00000000
 552 3.33933930 0.00000000 -0.00000000
 553 3.34534530 0.00000000 -0.00000000
 554 3.35135140 0.00000000 -0.00000000
 555 3.35735740 0.00000000 -0.00000000
 556 3.36336340 0.00000000 -0.00000000
 557 3.36936940 0.00000000 -0.00000000
 558 3.37537540 0.00000000 -0.00000000
 559 3.38138140 0.00000000 -0.00000000
 560 3.38738740 0.00000000 -0.00000000
 561 3.39339340 0.00000000 -0.00000000
 562 3.39939940 0.00000000 -0.00000000
 563 3.40540540 0.00000000 -0.00000000
 564 3.41141140 0.00000000 -0.00000000
 565 3.41741740 0.00000000 -0.00000000
 566 3.42342340 0.00000000 -0.00000000
 567 3.42942940 0.00000000 -0.00000000
 568 3.43543540 0.00000000 -0.00000000
 569 3.44144140 0.00000000 -0.00000000
 570 3.44744740 0.00000000 -0.00000000
 571 3.45345350 0.00000000 -0.00000000
 572 3.45945950 0.00000000 -0.00000000
 573 3.46546550 0.00000000 -0.00000000
 574 3.47147150 0.00000000 -0.00000000
 575 3.47747750 0.00000000 -0.00000000
 576 3.48348350 0.00000000 -0.00000000
 577 3.48948950 0.00000000 -0.00000000
 578 3.49549550 0.00000000 -0.00000000
 579 3.50150150 0.00000000 -0.00000000
 580 3.50750750 0.00000000 -0.00000000
 581 3.51351350 0.00000000 -0.00000000
 582 3.51951950 0.00000000 -0.00000000
 583 3.52552550 0.00000000 -0.00000000
 584 3.53153150 0.00000000 -0.00000000
 585 3.53753750 0.00000000 -0.00000000
 586 3.54354350 0.00000000 -0.00000000
 587 3.54954950 0.00000000 -0.00000000
 588 3.55555560 0.00000000 -0.00000000
 589 3.56156160 0.00000000 -0.00000000
 590 3.56756760 0.00000000 -0.00000000
 591 3.57357360 0.00000000 -0.00000000
 592 3.57957960 0.00000000 -0.00000000
 593 3.58558560 0.00000000 -0.00000000
 594 3.59159160 0.00000000 -0.00000000
 595 3.59759760 0.00000000 -0.00000000
 596 3.60360360 0.00000000 -0.00000000
 597 3.60960960 0.00000000 -0.00000000
